"Story","Title","Result","Date","Stability","Duration (s)"
"Booking CURD test","Create a new booking","SUCCESS","2023-01-10T22:49:34.685Z[Europe/London]","0.0","13.03"
"Booking CURD test","Get the booking","SUCCESS","2023-01-10T22:49:47.834Z[Europe/London]","0.0","1.12"
"Booking CURD test","Update the booking","SUCCESS","2023-01-10T22:49:48.961Z[Europe/London]","0.0","1.4"
"Booking CURD test","Update the partial booking","SUCCESS","2023-01-10T22:49:50.378Z[Europe/London]","0.0","1.34"
"Booking CURD test","Delete the booking","SUCCESS","2023-01-10T22:49:51.723Z[Europe/London]","0.0","1.34"
"Booking data driven test","Data Driven test for adding multiple bookings to the application","SUCCESS","2023-01-10T22:49:59.609Z[Europe/London]","0.0","24.86"
"Tags test","This test will verify if a status code of 200 is returned for GET request","SUCCESS","2023-01-10T22:50:00.861Z[Europe/London]","0.0","1.31"
"Testing different request on the restful booker app","As a user I am creating authorization token","SUCCESS","2023-01-10T22:50:02.901Z[Europe/London]","0.0","1.49"
"Testing different request on the restful booker app","As a user I am creating booking and verify booking is made","SUCCESS","2023-01-10T22:50:04.770Z[Europe/London]","0.0","3.72"
"Testing different request on the restful booker app","As a user I update a booking with firstName","SUCCESS","2023-01-10T22:50:08.624Z[Europe/London]","0.0","0.99"
"Testing different request on the restful booker app","As a user I updated partial booking with lastName","SUCCESS","2023-01-10T22:50:09.704Z[Europe/London]","0.0","0.78"
"Testing different request on the restful booker app","As a user I delete the booking","SUCCESS","2023-01-10T22:50:11.105Z[Europe/London]","0.0","1.32"
"Testing different request on the restful booker app","CRUD Test","SUCCESS","2023-01-10T22:50:13.162Z[Europe/London]","0.0","6.89"
